title,channel,url,scripture_reference,volume,description,approximate_views
"Overview: Galatians",BibleProject,https://www.youtube.com/watch?v=vmx4UjRFp0M,"Galatians",NT,"Animated overview of Galatians on freedom in Christ versus legalism",3000000
"Overview: Ephesians",BibleProject,https://www.youtube.com/watch?v=Y71r-T98E2Q,"Ephesians",NT,"Animated overview of Ephesians exploring the cosmic scope of Gods plan in Christ",4000000
"Overview: Hebrews",BibleProject,https://www.youtube.com/watch?v=z9wqN-nwSzE,"Hebrews",NT,"Animated overview of Hebrews presenting Jesus as the ultimate priest and sacrifice",5000000
"Overview: James",BibleProject,https://www.youtube.com/watch?v=qn-hLHWwRYY,"James",NT,"Animated overview of James on living out genuine faith through practical wisdom",4000000
"Overview: Revelation Ch. 1-11",BibleProject,https://www.youtube.com/watch?v=5nvVVcYD-0w,"Revelation 1-11",NT,"Animated overview of Revelation 1-11 covering the seven churches and seal judgments",8000000
"Overview: Revelation Ch. 12-22",BibleProject,https://www.youtube.com/watch?v=QpnIrbq2bKo,"Revelation 12-22",NT,"Animated overview of Revelation 12-22 on Babylons fall and the new creation",6000000
"Evidences of the Book of Mormon: Nahom",Book of Mormon Central,https://www.youtube.com/watch?v=EOPFob0cjfw,"1 Nephi 16:34",BoM,"Stephen Smoot examines the archaeological discovery of Nahom in Arabia and its significance for Book of Mormon historicity",200000
"A Marvelous Work Episode 1: The Greatness of the Evidence",Scripture Central,https://www.youtube.com/watch?v=6030mVPhoaw,"1 Nephi - Moroni",BoM,"Documentary exploring archaeological and historical evidences for the Book of Mormon",150000
"Book of Mormon Title Page Overview",Scripture Central,https://www.youtube.com/watch?v=T_GErTonAFg,"Title Page",BoM,"Animated illustration of the Book of Mormons coming forth narrated from the Title Page text",50000
"Come Follow Me Insights: Book of Mormon Introduction",Scripture Central,https://www.youtube.com/watch?v=jCEmdvzGMdA,"Introduction",BoM,"BYU instructors Taylor Halverson and Tyler Griffin review the Book of Mormon Title Page and Introduction",100000
"Come Follow Me Insights: Witnesses of the Book of Mormon",Scripture Central,https://www.youtube.com/watch?v=YfBFhEkkXCo,"Testimonies of Witnesses",BoM,"Coverage of the testimonies of the Three and Eight Witnesses of the Book of Mormon",80000
"Evidence for the Book of Mormon Plates",Scripture Central,https://www.youtube.com/watch?v=Mm-AXJNXiB8,"1 Nephi - Mormon",BoM,"Examines historical and physical evidence related to the golden plates of the Book of Mormon",120000
"The Miraculous Translation of the Book of Mormon",Scripture Central,https://www.youtube.com/watch?v=4LdR7BoI6F0,"Title Page",BoM,"Explores the process and evidence surrounding Joseph Smiths translation of the Book of Mormon",100000
"The Testimony of the Prophet Joseph Smith",Scripture Central,https://www.youtube.com/watch?v=ofIvfB7DYKQ,"Joseph Smith-History",PoGP,"Visual presentation of Joseph Smiths account of receiving and translating the Book of Mormon plates",60000
"Come Follow Me Insights: Book of Mormon Introduction (Pt 2)",Scripture Central,https://www.youtube.com/watch?v=VfWx071CCXA,"Introduction",BoM,"Brings the Book of Mormons Introduction to life with relevant imagery and animation",40000
